initiative_id,created_date,initiative_title_ar,description_ar,owning_sector,approval_stage,disclosure_status
INIT-00164,2025-03-04,إعلان انطلاق برنامج التحول الرقمي - قطاع الخدمات الرقمية 2025,إعلان رسمي عن انطلاق البرنامج وأهدافه المعلنة. المرجع INI-2025-2809 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,معلن
INIT-00165,2024-08-15,مذكرة تفاهم مع تحالف صناعي دولي لتنفيذ برنامج تكامل الأنظمة الحكومية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2024-4751 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,معتمدة داخليًا,غير معلن
INIT-00166,2025-01-29,مبادرة داخلية رقم SI-2025-875 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2025-8681 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,معتمدة داخليًا,غير معلن
INIT-00167,2022-01-02,مذكرة تفاهم مع منظمة إقليمية لتنفيذ برنامج التحول الرقمي,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2022-4002 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,معتمدة داخليًا,غير معلن
INIT-00168,2020-06-02,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2020-1250 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,معتمدة داخليًا,غير معلن
INIT-00169,2025-05-29,برنامج تشغيل منشأة حيوية وطنية في خميس مشيط,نطاق تشغيل منشأة حيوية وطنية وحدود المسؤولية التشغيلية. المرجع INI-2025-6862 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,غير معلن
INIT-00170,2021-01-13,نموذج تسعير برنامج الذكاء الاصطناعي المؤسسي للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2021-3932 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,معتمدة داخليًا,معلن جزئيًا
INIT-00171,2019-10-22,مشروع تأمين مواقع تخزين أسلحة خاضعة للرقابة,تصميم ضوابط تأمين مواقع أسلحة ومواد خاضعة للرقابة. المرجع INI-2019-8543 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,بانتظار الاعتماد,غير معلن
INIT-00172,2020-07-16,إعادة هيكلة قطاع الشراكات - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2020-8649 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,مرفوعة للجنة,غير معلن
INIT-00173,2025-01-10,الميزانية الاستراتيجية لبرنامج الحوسبة السيادية 2025-2028,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2025-8236 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,بانتظار الاعتماد,معلن جزئيًا
INIT-00174,2020-03-14,مذكرة تفاهم مع صندوق استثماري دولي لتنفيذ برنامج تحديث البنية التقنية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2020-3236 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,معتمدة داخليًا,غير معلن
INIT-00175,2023-03-30,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2023-1004 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مرفوعة للجنة,غير معلن
INIT-00176,2019-09-12,الميزانية الاستراتيجية لبرنامج المدن الذكية 2019-2021,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2019-4343 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مسودة أولية,غير معلن
INIT-00177,2024-05-30,الميزانية الاستراتيجية لبرنامج المدن الذكية 2024-2026,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2024-6139 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,معتمدة داخليًا,غير معلن
INIT-00178,2019-02-20,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2019-3345 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,معلن جزئيًا
INIT-00179,2026-04-09,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2026-8309 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00180,2021-11-16,مذكرة داخلية لمتابعة مؤشرات برنامج الاستحواذ التقني,مذكرة داخلية دورية لمتابعة مؤشرات التنفيذ بين الإدارات. المرجع INI-2021-2559 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,معتمدة داخليًا,غير معلن
INIT-00181,2019-07-24,مذكرة تفاهم مع جهة سيادية شريكة لتنفيذ برنامج الذكاء الاصطناعي المؤسسي,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2019-9573 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00182,2022-03-03,خطة دخول سوق نجران - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2022-9609 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,قيد الدراسة,معلن جزئيًا
INIT-00183,2020-03-17,إعلان انطلاق برنامج المرونة التشغيلية - قطاع الأعمال المؤسسية 2020,إعلان رسمي عن انطلاق البرنامج وأهدافه المعلنة. المرجع INI-2020-5843 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مرفوعة للجنة,معلن
INIT-00184,2023-01-07,مذكرة تفاهم مع شريك تقني عالمي لتنفيذ برنامج التحول الرقمي,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2023-8526 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مسودة أولية,غير معلن
INIT-00185,2023-12-24,خطة دخول سوق بريدة - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2023-1205 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,بانتظار الاعتماد,معلن جزئيًا
INIT-00186,2025-01-31,مبادرة إدارة مفاتيح التشفير على مستوى الجهات الوطنية,تصميم مركزي لإدارة مفاتيح التشفير عبر الأنظمة الوطنية. المرجع INI-2025-8366 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مسودة أولية,غير معلن
INIT-00187,2024-10-26,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2024-5000 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,معتمدة داخليًا,معلن جزئيًا
INIT-00188,2021-02-09,مبادرة الحوسبة السيادية وحماية سيادة البيانات,تصميم بيئة تضمن سيادة البيانات الوطنية وحدود الاستضافة المسموحة. المرجع INI-2021-5181 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد الدراسة,غير معلن
INIT-00189,2021-11-14,الميزانية الاستراتيجية لبرنامج الاستحواذ التقني 2021-2025,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2021-3801 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,معتمدة داخليًا,غير معلن
INIT-00190,2024-11-20,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2024-8748 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مسودة أولية,غير معلن
INIT-00191,2020-12-25,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2020-3312 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,بانتظار الاعتماد,غير معلن
INIT-00192,2023-11-21,خطة دخول سوق المدينة المنورة - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2023-8953 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,معتمدة داخليًا,غير معلن
INIT-00193,2019-10-14,معاهدة تعاون تقني قيد التفاوض مع دولة شريكة,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2019-3168 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,معتمدة داخليًا,معلن جزئيًا
INIT-00194,2024-08-02,الميزانية الاستراتيجية لبرنامج تكامل الأنظمة الحكومية 2024-2028,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2024-4668 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مرفوعة للجنة,غير معلن
INIT-00195,2019-03-12,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2019-6244 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00196,2022-09-04,مصفوفة الشركاء المحتملين لبرنامج المدن الذكية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2022-6842 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,مرفوعة للجنة,غير معلن
INIT-00197,2024-12-05,خطة دخول سوق نجران - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2024-2238 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد الدراسة,غير معلن
INIT-00198,2026-03-19,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2026-7293 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,غير معلن
INIT-00199,2021-04-09,مسار تفاوض دبلوماسي لتوطين برنامج الاستحواذ التقني,مسار ذو طابع دبلوماسي لتوطين التقنية مع أطراف خارجية. المرجع INI-2021-6801 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00200,2022-04-16,خطة توزيع الكوادر على برنامج التوسع الإقليمي,توزيع كوادر مع بيانات شخصية ومسميات وظيفية تفصيلية. المرجع INI-2022-3696 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,بانتظار الاعتماد,غير معلن
INIT-00201,2021-12-27,برنامج تشغيل منشأة حيوية وطنية في عرعر,نطاق تشغيل منشأة حيوية وطنية وحدود المسؤولية التشغيلية. المرجع INI-2021-9646 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مرفوعة للجنة,غير معلن
INIT-00202,2021-06-11,برنامج تشغيل منشأة حيوية وطنية في أبها,نطاق تشغيل منشأة حيوية وطنية وحدود المسؤولية التشغيلية. المرجع INI-2021-9332 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد الدراسة,غير معلن
INIT-00203,2022-10-13,نموذج تسعير برنامج الذكاء الاصطناعي المؤسسي للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2022-1135 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,معتمدة داخليًا,غير معلن
INIT-00204,2024-04-10,مبادرة الحوسبة السيادية وحماية سيادة البيانات,تصميم بيئة تضمن سيادة البيانات الوطنية وحدود الاستضافة المسموحة. المرجع INI-2024-6933 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,بانتظار الاعتماد,غير معلن
INIT-00205,2020-01-20,مبادرة داخلية رقم SI-2020-320 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2020-1309 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,غير معلن
INIT-00206,2020-01-22,مصفوفة الشركاء المحتملين لبرنامج أمن سلاسل الإمداد,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2020-1287 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مرفوعة للجنة,غير معلن
INIT-00207,2021-10-28,منشور تعريفي بمخرجات برنامج تكامل الأنظمة الحكومية في الجبيل,منشور تعريفي عام بالمخرجات المعلنة للبرنامج. المرجع INI-2021-1270 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,بانتظار الاعتماد,معلن
INIT-00208,2020-03-22,مشروع تحديث أنظمة مركز تحكم شبكة النقل - مرحلة 3,تحديث أنظمة تحكم منشأة حيوية وجدول الإيقاف المخطط. المرجع INI-2020-6448 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مسودة أولية,غير معلن
INIT-00209,2022-09-30,مبادرة تحليل استخبارات التهديد الوطنية,بناء قدرة استخبارات تهديد مشتركة بين الجهات الوطنية. المرجع INI-2022-3252 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مرفوعة للجنة,غير معلن
INIT-00210,2021-11-21,مبادرة داخلية رقم SI-2021-147 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2021-7172 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,بانتظار الاعتماد,معلن جزئيًا
INIT-00211,2026-05-02,مسار تفاوض دبلوماسي لتوطين برنامج المرونة التشغيلية,مسار ذو طابع دبلوماسي لتوطين التقنية مع أطراف خارجية. المرجع INI-2026-4862 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,بانتظار الاعتماد,معلن جزئيًا
INIT-00212,2019-09-21,معاهدة تعاون تقني قيد التفاوض مع شريك تقني عالمي,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2019-1216 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مرفوعة للجنة,معلن جزئيًا
INIT-00213,2022-12-12,تحقيق جدوى موسّع لبرنامج التوسع الإقليمي,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2022-8016 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,مسودة أولية,غير معلن
INIT-00214,2020-08-09,مصفوفة الشركاء المحتملين لبرنامج الحوسبة السيادية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2020-8579 · الجهة المعنية: قطاع البنية التحتية.,,بانتظار الاعتماد,معلن جزئيًا
INIT-00215,2021-09-14,مصفوفة الشركاء المحتملين لبرنامج تحديث البنية التقنية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2021-3850 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,مسودة أولية,غير معلن
INIT-00216,2026-01-28,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2026-3505 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,غير معلن
INIT-00217,2025-05-22,عقد مورد لتوريد تجهيزات برنامج الاستحواذ التقني,بنود عقد مورد وجدول التوريد والغرامات التعاقدية. المرجع INI-2025-4632 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد التنفيذ المبدئي,غير معلن
INIT-00218,2021-01-25,مشروع تحديث أنظمة مصفاة بترولية - مرحلة 2,تحديث أنظمة تحكم منشأة حيوية وجدول الإيقاف المخطط. المرجع INI-2021-1074 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,معتمدة داخليًا,غير معلن
INIT-00219,2019-10-17,منشور تعريفي بمخرجات برنامج تكامل الأنظمة الحكومية في جازان,منشور تعريفي عام بالمخرجات المعلنة للبرنامج. المرجع INI-2019-6665 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,معلن
INIT-00220,2021-02-20,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2021-1818 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,غير معلن
INIT-00221,2021-09-26,خطة دخول سوق بريدة - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2021-4367 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,غير معلن
INIT-00222,2022-08-24,خطة توزيع الكوادر على برنامج تكامل الأنظمة الحكومية,توزيع كوادر مع بيانات شخصية ومسميات وظيفية تفصيلية. المرجع INI-2022-7155 · الجهة المعنية: قطاع الأعمال المؤسسية.,,قيد الدراسة,معلن جزئيًا
INIT-00223,2026-01-06,مذكرة تفاهم مع تحالف صناعي دولي لتنفيذ برنامج المرونة التشغيلية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2026-3895 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مسودة أولية,معلن جزئيًا
INIT-00224,2022-07-28,مذكرة تفاهم مع شريك تقني عالمي لتنفيذ برنامج الحوسبة السيادية,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2022-6610 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مرفوعة للجنة,معلن جزئيًا
INIT-00225,2025-09-17,مبادرة الحوسبة السيادية وحماية سيادة البيانات,تصميم بيئة تضمن سيادة البيانات الوطنية وحدود الاستضافة المسموحة. المرجع INI-2025-7360 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,مسودة أولية,غير معلن
INIT-00226,2019-03-16,مصفوفة الشركاء المحتملين لبرنامج التحول الرقمي,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2019-3097 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00227,2022-02-16,مصفوفة الشركاء المحتملين لبرنامج الاستحواذ التقني,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2022-1395 · الجهة المعنية: قطاع التقنية والمشاريع.,,قيد الدراسة,معلن جزئيًا
INIT-00228,2019-10-26,مبادرة داخلية رقم SI-2019-858 - غير معلنة,مبادرة قيد الدراسة يترتب على كشفها المبكر أثر تنافسي مباشر. المرجع INI-2019-6012 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مرفوعة للجنة,معلن جزئيًا
INIT-00229,2020-04-18,مبادرة الحوسبة السيادية وحماية سيادة البيانات,تصميم بيئة تضمن سيادة البيانات الوطنية وحدود الاستضافة المسموحة. المرجع INI-2020-7413 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,قيد التنفيذ المبدئي,غير معلن
INIT-00230,2024-07-28,متطلبات ربط شبكي لبرنامج تكامل الأنظمة الحكومية,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2024-3033 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مرفوعة للجنة,معلن جزئيًا
INIT-00231,2025-12-16,مذكرة تفاهم مع منظمة إقليمية لتنفيذ برنامج التحول الرقمي,مسودة مذكرة تفاهم لم تُوقّع بعد وتتضمن التزامات مالية. المرجع INI-2025-5712 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد الدراسة,غير معلن
INIT-00232,2023-11-11,مشروع منظومة اتصالات لجهة عسكري الطابع,متطلبات منظومة اتصالات لجهة عسكري الطابع وقيود التسليم. المرجع INI-2023-7440 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,معتمدة داخليًا,غير معلن
INIT-00233,2020-10-28,خطة دخول سوق جازان - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2020-6440 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,بانتظار الاعتماد,معلن جزئيًا
INIT-00234,2024-08-14,تحقيق جدوى موسّع لبرنامج الحوسبة السيادية,تحقيق جدوى يتضمن أرقامًا مالية غير معلنة وسيناريوهات المخاطر. المرجع INI-2024-8443 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد الدراسة,غير معلن
INIT-00235,2024-06-19,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2024-2597 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,قيد التنفيذ المبدئي,غير معلن
INIT-00236,2020-11-11,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2020-8288 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,قيد الدراسة,غير معلن
INIT-00237,2023-12-10,معاهدة تعاون تقني قيد التفاوض مع تحالف صناعي دولي,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2023-5154 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,قيد التنفيذ المبدئي,غير معلن
INIT-00238,2025-11-10,مصفوفة الشركاء المحتملين لبرنامج المدن الذكية,تقييم شركاء محتملين وشروط التفضيل قبل الإفصاح للسوق. المرجع INI-2025-5827 · الجهة المعنية: قطاع الحلول الحكومية.,قطاع الحلول الحكومية,معتمدة داخليًا,غير معلن
INIT-00239,2023-10-25,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2023-4662 · الجهة المعنية: قطاع البنية التحتية.,قطاع البنية التحتية,بانتظار الاعتماد,معلن جزئيًا
INIT-00240,2019-08-12,متطلبات ربط شبكي لبرنامج الحوسبة السيادية,مخطط الشبكة المطلوب لربط بيئات المشروع الداخلية. المرجع INI-2019-7437 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,بانتظار الاعتماد,معلن جزئيًا
INIT-00241,2023-09-28,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2023-1788 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,معتمدة داخليًا,غير معلن
INIT-00242,2024-04-10,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2024-5911 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مرفوعة للجنة,معلن جزئيًا
INIT-00243,2023-12-27,المشروع الوطني المرجعي رقم NP-282 - تداول اللجنة العليا,مشروع لا تُتداول تفاصيله خارج اللجنة العليا لارتباطه بمواقع وطنية. المرجع INI-2023-9389 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,مرفوعة للجنة,غير معلن
INIT-00244,2023-11-24,عرض أسعار استشاري لمرحلة تصميم برنامج تكامل الأنظمة الحكومية,عرض أسعار مقدم من بيت خبرة ضمن نطاق محدود. المرجع INI-2023-5828 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد الدراسة,معلن جزئيًا
INIT-00245,2022-01-17,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2022-5133 · الجهة المعنية: قطاع الشراكات.,,مسودة أولية,غير معلن
INIT-00246,2023-02-15,خطة التخارج الاستراتيجية من عقد تشغيل كبير,خيارات التخارج الاستراتيجية وأثرها المالي على الإيرادات. المرجع INI-2023-6220 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,مرفوعة للجنة,معلن جزئيًا
INIT-00247,2020-12-25,معاهدة تعاون تقني قيد التفاوض مع جهة سيادية شريكة,نص معاهدة تعاون تقني قيد التفاوض وبنود نقل المعرفة. المرجع INI-2020-3072 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,معلن جزئيًا
INIT-00248,2025-03-19,خطة دخول سوق الخبر - نسخة غير معلنة,خطة استراتيجية لدخول السوق وتقديرات الحصة المستهدفة. المرجع INI-2025-8473 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,مرفوعة للجنة,غير معلن
INIT-00249,2023-02-14,إعادة هيكلة قطاع البنية التحتية - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2023-7695 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,بانتظار الاعتماد,غير معلن
INIT-00250,2020-08-15,نموذج تسعير برنامج الاستحواذ التقني للمنافسات الحكومية,هوامش وحدود تسعير استراتيجية غير قابلة للإفصاح للمنافسين. المرجع INI-2020-5097 · الجهة المعنية: قطاع العمليات.,قطاع العمليات,مرفوعة للجنة,غير معلن
INIT-00251,2022-07-06,إعادة هيكلة قطاع الخدمات الرقمية - قبل الاعتماد,تصور إعادة الهيكلة وأثرها الوظيفي قبل الاعتماد من المجلس. المرجع INI-2022-7890 · الجهة المعنية: قطاع الشراكات.,قطاع الشراكات,قيد الدراسة,معلن جزئيًا
INIT-00252,2019-12-31,مسار تفاوض دبلوماسي لتوطين برنامج أمن سلاسل الإمداد,مسار ذو طابع دبلوماسي لتوطين التقنية مع أطراف خارجية. المرجع INI-2019-3508 · الجهة المعنية: قطاع الأعمال المؤسسية.,قطاع الأعمال المؤسسية,قيد الدراسة,معلن جزئيًا
INIT-00253,2024-11-04,خطة الاستحواذ الاستراتيجية على مزوّد تقني إقليمي,خطة استراتيجية للاستحواذ مع تقييم مبدئي وهيكل تمويل مقترح. المرجع INI-2024-8275 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد الدراسة,معلن جزئيًا
INIT-00254,2023-03-15,الميزانية الاستراتيجية لبرنامج التحول الرقمي 2023-2027,تفاصيل الميزانية الاستراتيجية وتوزيعها على المراحل قبل الاعتماد. المرجع INI-2023-5027 · الجهة المعنية: قطاع التحول الرقمي.,قطاع التحول الرقمي,معتمدة داخليًا,غير معلن
INIT-00255,2024-04-01,مبادرة مواقع تخزين احتياطية للبيانات الحساسة,تحديد مواقع تخزين احتياطية وسعاتها ومستويات حمايتها. المرجع INI-2024-7470 · الجهة المعنية: قطاع التقنية والمشاريع.,قطاع التقنية والمشاريع,قيد التنفيذ المبدئي,غير معلن
